# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
1649	Kurthia	genus	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia	1,131567,2,1783272,1239,91061,1385,186818,1649
1266370	Nitrospina gracilis 3/211	no rank	root,cellular organisms,Bacteria,Nitrospinae/Tectomicrobia group,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,Nitrospina gracilis,Nitrospina gracilis 3/211	1,131567,2,1802340,1293497,1293498,1293499,407032,35800,35801,1266370
690417	Paracoccus sphaerophysae	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus sphaerophysae	1,131567,2,1224,28211,204455,31989,265,690417
29388	Staphylococcus capitis	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus capitis	1,131567,2,1783272,1239,91061,1385,90964,1279,29388
301302	Roseburia faecis	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia faecis	1,131567,2,1783272,1239,186801,186802,186803,841,301302
243265	Photorhabdus laumondii subsp. laumondii TTO1	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus,Photorhabdus laumondii,Photorhabdus laumondii subsp. laumondii,Photorhabdus laumondii subsp. laumondii TTO1	1,131567,2,1224,1236,91347,1903414,29487,2218628,141679,243265
33935	Lysinibacillus macroides	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus macroides	1,131567,2,1783272,1239,91061,1385,186817,400634,33935
1855519	Sphingobium sp. EP60837	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp. EP60837	1,131567,2,1224,28211,204457,41297,165695,1855519
40335	Legionella tucsonensis	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella tucsonensis	1,131567,2,1224,1236,118969,444,445,40335
1736366	Chryseobacterium sp. Leaf404	species	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. Leaf404	1,131567,2,1783270,68336,976,117743,200644,49546,59732,1736366
315749	Bacillus cytotoxicus NVH 391-98	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,Bacillus cytotoxicus,Bacillus cytotoxicus NVH 391-98	1,131567,2,1783272,1239,91061,1385,186817,1386,86661,580165,315749
1056816	Nocardia sp. BMG51109	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia sp. BMG51109	1,131567,2,1783272,201174,1760,85007,85025,1817,1056816
1122182	Longispora albida DSM 44784	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Longispora,Longispora albida,Longispora albida DSM 44784	1,131567,2,1783272,201174,1760,85008,28056,203522,203523,1122182
679197	Segniliparus rugosus ATCC BAA-974	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Segniliparaceae,Segniliparus,Segniliparus rugosus,Segniliparus rugosus ATCC BAA-974	1,131567,2,1783272,201174,1760,85007,316606,286801,286804,679197
121292	Pseudarthrobacter sulfonivorans	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter sulfonivorans	1,131567,2,1783272,201174,1760,85006,1268,1742993,121292
1120927	Acinetobacter tandoii DSM 14970 = CIP 107469	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,Acinetobacter tandoii DSM 14970 = CIP 107469	1,131567,2,1224,1236,72274,468,469,202954,1120927
1121032	Azonexus hydrophilus DSM 23864	no rank	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus,Azonexus hydrophilus,Azonexus hydrophilus DSM 23864	1,131567,2,1224,28216,206389,2008795,146936,418702,1121032
136857	Corynebacterium testudinoris	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium testudinoris	1,131567,2,1783272,201174,1760,85007,1653,1716,136857
383381	Erythrobacter sp. JL475	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter sp. JL475	1,131567,2,1224,28211,204457,335929,1041,383381
742823	Sutterella wadsworthensis 2_1_59BFAA	no rank	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,Sutterella wadsworthensis 2_1_59BFAA	1,131567,2,1224,28216,80840,995019,40544,40545,742823
103855	Bordetella hinzii	species	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella hinzii	1,131567,2,1224,28216,80840,506,517,103855
1267005	Hyphomicrobium zavarzinii ATCC 27496	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium zavarzinii,Hyphomicrobium zavarzinii ATCC 27496	1,131567,2,1224,28211,356,45401,81,48292,1267005
596153	Alicycliphilus denitrificans BC	no rank	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,Alicycliphilus denitrificans,Alicycliphilus denitrificans BC	1,131567,2,1224,28216,80840,80864,201096,179636,596153
1121909	Gaetbulibacter saemankumensis DSM 17032	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gaetbulibacter,Gaetbulibacter saemankumensis,Gaetbulibacter saemankumensis DSM 17032	1,131567,2,1783270,68336,976,117743,200644,49546,311207,311208,1121909
86795	Marmoricola	genus	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola	1,131567,2,1783272,201174,1760,85009,85015,86795
682522	Ilumatobacter	genus	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter	1,131567,2,1783272,201174,84992,84993,2448023,682522
31989	Rhodobacteraceae	family	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae	1,131567,2,1224,28211,204455,31989
1658008	Dysgonomonas sp. BGC7	species	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,Dysgonomonas sp. BGC7	1,131567,2,1783270,68336,976,200643,171549,2005520,156973,1658008
1122949	Peptoniphilus lacrimalis DSM 7455	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis DSM 7455	1,131567,2,1783272,1239,1737404,1737405,1570339,162289,33031,1122949
270918	Salegentibacter mishustinae	species	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Salegentibacter mishustinae	1,131567,2,1783270,68336,976,117743,200644,49546,143222,270918
1349785	Tenacibaculum maritimum NCIMB 2154	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum maritimum,Tenacibaculum maritimum NCIMB 2154	1,131567,2,1783270,68336,976,117743,200644,49546,104267,107401,1349785
1849	Actinopolyspora	genus	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora	1,131567,2,1783272,201174,1760,622450,622451,1849
1912795	Actinomyces tangfeifanii	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces tangfeifanii	1,131567,2,1783272,201174,1760,2037,2049,1654,1912795
1423727	Lactobacillus brantae DSM 23927	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus brantae,Lactobacillus brantae DSM 23927	1,131567,2,1783272,1239,91061,186826,33958,1578,943673,1423727
1410638	Ruminococcaceae bacterium AB4001	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,unclassified Ruminococcaceae (miscellaneous),Ruminococcaceae bacterium AB4001	1,131567,2,1783272,1239,186801,186802,541000,552397,2305133,1410638
1122202	Marinobacterium rhizophilum DSM 18822	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium rhizophilum,Marinobacterium rhizophilum DSM 18822	1,131567,2,1224,1236,135619,135620,48075,420402,1122202
